[ 2025-06-10 12:06:16,933 ] 42 root - INFO - Start data Ingestion
[ 2025-06-10 12:06:30,420 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-06-10 12:06:30,420 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-06-10 12:06:30,420 ] 75 root - INFO - Exporting train and test file path.
[ 2025-06-10 12:06:30,472 ] 84 root - INFO - Exported train and test file path.
[ 2025-06-10 12:06:30,472 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts\\06_10_2025_12_06_12\\data_ingestion\\ingested\\train.csv', test_file_path='Artifacts\\06_10_2025_12_06_12\\data_ingestion\\ingested\\test.csv')
[ 2025-06-10 12:06:30,487 ] 55 root - INFO - Initiate the data Validation
[ 2025-06-10 12:06:30,562 ] 32 root - INFO - Required number of columns:2
[ 2025-06-10 12:06:30,562 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-10 12:06:30,562 ] 32 root - INFO - Required number of columns:2
[ 2025-06-10 12:06:30,562 ] 33 root - INFO - Data frame has columns:31
[ 2025-06-10 12:06:30,701 ] 53 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-06-10 12:06:30,701 ] 55 root - INFO - Starting data transformation
[ 2025-06-10 12:06:30,737 ] 38 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-06-10 12:06:30,737 ] 43 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-06-10 12:06:30,751 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-10 12:06:30,753 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-10 12:06:30,753 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-10 12:06:30,757 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-10 12:13:34,979 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-10 12:13:35,015 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-06-10 12:13:35,016 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-06-10 12:13:35,028 ] 50 root - INFO - Exited the save_object method of MainUtils class
